,LULU,,BX,,TDOC,,JNK,,GLD,,,,,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,,,,,
1/2/2015,55.34,1/2/2015,33.48,28.5,7/1/2015,1/2/2015,116.04,1/2/2015,114.08,,,,,
1/5/2015,55.96,1/5/2015,32.99,28,7/2/2015,1/5/2015,115.23,1/5/2015,115.8,,,,,
1/6/2015,55.57,1/6/2015,32.36,26.69,7/6/2015,1/6/2015,114.69,1/6/2015,117.12,,,,,
1/7/2015,57.65,1/7/2015,32.82,27.01,7/7/2015,1/7/2015,115.32,1/7/2015,116.43,,,,,
1/8/2015,59.07,1/8/2015,33.07,26.25,7/8/2015,1/8/2015,116.1,1/8/2015,115.94,,,,,
1/9/2015,58.63,1/9/2015,33.56,26.66,7/9/2015,1/9/2015,116.73,1/9/2015,117.26,,,,,
1/12/2015,62.59,1/12/2015,33.7,29.28,7/10/2015,1/12/2015,116.61,1/12/2015,118.56,,,,,
1/13/2015,63.06,1/13/2015,33.43,30.96,7/13/2015,1/13/2015,116.49,1/13/2015,118.16,,,,,
1/14/2015,63.4,1/14/2015,33.31,31.96,7/14/2015,1/14/2015,116.22,1/14/2015,117.97,,,,,
1/15/2015,62.51,1/15/2015,32.84,30.69,7/15/2015,1/15/2015,115.56,1/15/2015,120.94,,,,,
1/16/2015,63,1/16/2015,33.03,30.95,7/16/2015,1/16/2015,115.89,1/16/2015,122.52,,,,,
1/20/2015,63,1/20/2015,33.31,30.6,7/17/2015,1/20/2015,115.89,1/20/2015,124.2,,,,,
1/21/2015,62.86,1/21/2015,34.04,29.89,7/20/2015,1/21/2015,116.34,1/21/2015,124.23,,,,,
1/22/2015,63.76,1/22/2015,35.03,30.5,7/21/2015,1/22/2015,116.49,1/22/2015,125.23,,,,,
1/23/2015,66.2,1/23/2015,35.38,31.09,7/22/2015,1/23/2015,116.52,1/23/2015,124.23,,,,,
1/26/2015,66.76,1/26/2015,35.76,30.54,7/23/2015,1/26/2015,117.21,1/26/2015,122.99,,,,,
1/27/2015,67.48,1/27/2015,35.89,32.15,7/24/2015,1/27/2015,117.06,1/27/2015,124.4,,,,,
